x,y,z,t
1.819,-4.733,1.096,26.39
1.735,-4.644,1.113,26.69
1.658,-4.562,1.129,27.06
1.584,-4.51,1.147,27.33
1.493,-4.453,1.163,27.67
1.395,-4.406,1.172,28.0
1.27,-4.368,1.188,28.38
1.126,-4.336,1.198,28.77
1.008,-4.287,1.205,29.09
0.906,-4.231,1.213,29.41
0.809,-4.161,1.228,29.73
0.737,-4.089,1.241,29.99
0.66,-3.984,1.248,30.31
0.596,-3.815,1.248,30.68
0.57,-3.632,1.245,31.05
0.593,-3.484,1.252,31.41
0.595,-3.374,1.259,31.84
0.584,-3.36,1.256,32.09
0.542,-3.326,1.243,32.47
0.513,-3.288,1.24,32.66
0.455,-3.2,1.231,32.99
0.341,-3.075,1.239,33.58
0.235,-2.988,1.253,34.17
0.169,-2.934,1.256,34.7
0.108,-2.901,1.267,35.24
0.086,-2.907,1.273,35.73
0.101,-2.95,1.27,36.29
0.129,-2.992,1.264,36.85
0.139,-3.014,1.262,37.43
0.157,-3.02,1.258,37.96
0.171,-3.033,1.256,38.49
0.192,-3.05,1.254,39.07
0.211,-3.065,1.251,39.49
0.274,-3.103,1.247,40.09
0.326,-3.142,1.238,40.49
0.396,-3.21,1.227,41.04
0.457,-3.297,1.222,41.53
0.489,-3.364,1.232,42.21
0.471,-3.352,1.234,42.69
0.452,-3.319,1.233,43.26
0.44,-3.324,1.232,43.83
0.43,-3.324,1.23,44.39
0.424,-3.316,1.231,44.77
0.418,-3.308,1.231,45.34
0.413,-3.303,1.232,45.98
0.417,-3.309,1.232,46.43
0.425,-3.32,1.23,46.93
0.431,-3.324,1.23,47.49
0.425,-3.318,1.23,48.18
0.421,-3.311,1.231,48.73
0.414,-3.305,1.232,49.29
0.417,-3.308,1.232,49.79
0.427,-3.322,1.23,50.32
0.426,-3.323,1.231,50.89
0.423,-3.321,1.231,51.39
0.423,-3.323,1.232,51.96
0.418,-3.322,1.232,52.52
0.419,-3.322,1.232,53.02
0.415,-3.324,1.233,53.59
0.415,-3.324,1.233,54.14
0.414,-3.324,1.233,54.72
0.415,-3.325,1.233,55.24
0.413,-3.326,1.234,56.07
0.414,-3.325,1.234,56.59
0.414,-3.324,1.233,57.19
0.414,-3.325,1.233,57.67
0.411,-3.326,1.234,58.19
0.41,-3.326,1.234,58.67
0.409,-3.326,1.235,59.2
0.41,-3.326,1.235,59.73
0.408,-3.328,1.235,60.16
0.403,-3.329,1.236,60.78
0.397,-3.331,1.239,61.27
0.393,-3.337,1.239,61.82
0.39,-3.328,1.239,62.34
0.379,-3.315,1.24,62.87
0.369,-3.306,1.241,63.31
0.354,-3.298,1.244,63.84
0.34,-3.3,1.247,64.37
0.324,-3.302,1.25,64.93
0.316,-3.302,1.251,65.42
0.317,-3.283,1.26,65.95
0.331,-3.202,1.262,66.37
0.325,-3.078,1.267,66.89
0.309,-2.993,1.27,67.26
0.299,-2.955,1.269,67.64
0.259,-2.874,1.265,68.09
0.229,-2.778,1.258,68.52
0.223,-2.723,1.261,68.95
0.22,-2.682,1.255,69.34
0.228,-2.618,1.251,69.83
0.209,-2.501,1.244,70.3
0.215,-2.361,1.239,70.68
0.237,-2.166,1.222,71.15
0.276,-1.973,1.197,71.57
0.316,-1.76,1.182,72.02
0.368,-1.542,1.176,72.49
0.398,-1.39,1.192,72.91
0.426,-1.213,1.194,73.4
0.466,-1.018,1.189,73.9
0.505,-0.949,1.205,74.27
0.492,-0.915,1.189,74.7
0.491,-0.92,1.19,75.19
0.486,-0.931,1.197,75.62
0.464,-0.93,1.194,76.1
0.407,-0.927,1.19,76.47
0.366,-0.938,1.187,76.85
0.306,-0.921,1.191,77.41
0.253,-0.924,1.198,77.95
0.217,-0.92,1.203,78.37
0.18,-0.935,1.208,78.82
0.14,-0.953,1.222,79.35
0.135,-0.948,1.224,79.78
0.124,-0.961,1.229,80.32
0.105,-0.981,1.235,80.77
0.103,-0.977,1.236,81.22
0.093,-0.98,1.237,81.62
0.085,-0.98,1.238,82.13
0.085,-0.982,1.238,82.59
0.1,-0.979,1.236,83.14
0.11,-0.98,1.235,83.6
0.127,-0.979,1.233,84.18
0.14,-0.976,1.231,84.75
0.139,-0.968,1.229,85.3
0.144,-0.968,1.233,85.8
0.194,-0.95,1.22,86.17
0.261,-0.929,1.207,86.72
0.307,-0.879,1.194,87.21
0.329,-0.846,1.183,87.69
0.293,-0.852,1.19,88.07
0.303,-0.835,1.187,88.45
0.291,-0.828,1.188,88.86
0.278,-0.835,1.187,89.31
0.276,-0.825,1.187,89.77
0.271,-0.817,1.187,90.26
0.255,-0.806,1.187,90.69
0.383,-0.806,1.176,91.09
0.488,-0.802,1.183,91.36
0.538,-0.772,1.167,91.72
0.536,-0.716,1.155,92.11
0.541,-0.694,1.152,92.5
0.526,-0.705,1.153,92.88
0.534,-0.698,1.152,93.33
0.573,-0.682,1.148,93.62
0.621,-0.681,1.146,94.01
0.629,-0.664,1.142,94.4
0.612,-0.661,1.143,94.74
0.599,-0.669,1.143,95.09
0.597,-0.67,1.144,95.54
0.615,-0.664,1.144,95.82
0.478,-0.745,1.168,98.41
0.586,-0.777,1.165,98.97
0.684,-0.766,1.169,99.5
0.708,-0.725,1.149,99.88
0.74,-0.688,1.142,100.34
0.773,-0.65,1.14,100.69
0.778,-0.574,1.138,101.21
0.798,-0.469,1.114,101.59
0.831,-0.362,1.108,102.07
0.839,-0.276,1.098,102.48
0.84,-0.114,1.077,102.94
0.853,0.063,1.079,103.3
0.845,0.266,1.067,103.71
0.841,0.456,1.054,104.05
0.844,0.586,1.059,104.29
0.84,0.693,1.04,104.66
0.825,0.747,1.029,105.0
0.828,0.76,1.036,105.18
0.833,0.762,1.036,105.35
0.834,0.777,1.04,105.59
0.825,0.782,1.037,105.87
0.788,0.814,1.036,106.16
0.765,0.857,1.027,106.33
0.727,0.938,1.023,106.55
0.696,1.009,1.03,106.73
0.662,1.082,1.032,106.96
0.584,1.183,1.034,107.31
0.441,1.31,1.036,107.75
0.268,1.434,1.049,108.24
0.184,1.516,1.051,108.56
0.046,1.589,1.034,108.99
-0.018,1.687,1.037,109.42
-0.036,1.746,1.038,109.79
-0.045,1.752,1.024,110.21
-0.037,1.737,1.017,110.57
-0.044,1.726,1.017,110.95
-0.061,1.695,1.02,111.32
-0.087,1.687,1.024,111.73
-0.118,1.7,1.022,112.09
-0.135,1.736,1.025,112.53
-0.164,1.786,1.025,112.96
-0.175,1.826,1.03,113.34
-0.178,1.866,1.022,113.69
-0.171,2.004,1.01,114.12
-0.131,2.205,0.998,114.49
-0.055,2.46,0.975,114.86
0.004,2.584,0.966,115.12
0.048,2.709,0.959,115.43
0.079,2.789,0.954,115.68
0.09,2.895,0.95,116.0
0.094,2.93,0.948,116.17
0.085,2.983,0.94,116.39
0.093,3.042,0.932,116.75
0.087,3.064,0.931,116.93
0.087,3.116,0.932,117.36
0.054,3.132,0.921,117.77
-0.007,3.206,0.914,118.21
-0.045,3.292,0.909,118.48
-0.044,3.34,0.919,118.69
-0.035,3.403,0.91,118.99
-0.041,3.434,0.907,119.21
-0.042,3.476,0.907,119.49
-0.038,3.504,0.901,119.72
-0.051,3.54,0.893,120.02
-0.094,3.581,0.875,120.35
-0.187,3.654,0.861,120.73
-0.287,3.73,0.871,121.06
-0.393,3.803,0.876,121.39
-0.454,3.853,0.881,121.59
-0.563,3.923,0.893,121.89
-0.649,3.969,0.893,122.11
-0.768,4.03,0.901,122.39
-0.86,4.074,0.904,122.61
-0.928,4.099,0.908,122.77
-1.061,4.125,0.907,123.03
-1.16,4.15,0.907,123.24
-1.263,4.176,0.916,123.46
-1.381,4.198,0.922,123.68
-1.54,4.245,0.942,124.0
-1.619,4.268,0.949,124.16
-1.746,4.308,0.972,124.43
-1.848,4.333,0.992,124.64
-1.969,4.384,1.018,124.91
-2.104,4.46,1.038,125.27
-2.195,4.54,1.032,125.51
-2.292,4.644,1.018,125.77
-2.391,4.753,1.019,126.03
-2.562,4.924,0.969,126.43
-2.725,5.0,0.938,126.77
-2.937,5.087,0.89,127.21
-3.109,5.152,0.871,127.54
-3.269,5.211,0.87,127.82
-3.363,5.249,0.882,127.98
-3.458,5.301,0.899,128.14
-3.578,5.393,0.895,128.36
-3.726,5.522,0.893,128.62
-3.827,5.624,0.895,128.83
-3.906,5.69,0.899,128.99
-4.037,5.785,0.883,129.26
-4.141,5.868,0.878,129.49
-4.219,5.943,0.883,129.78
-4.283,5.971,0.875,130.01
-4.354,5.994,0.884,130.24
-4.43,6.014,0.888,130.46
-4.507,6.033,0.895,130.66
-4.62,6.054,0.9,130.91
-4.747,6.066,0.911,131.2
-4.855,6.068,0.91,131.44
-5.021,6.048,0.911,131.75
-5.147,6.051,0.921,131.97
-5.277,6.036,0.94,132.2
-5.422,6.056,0.949,132.43
-5.642,6.098,0.977,132.77
-5.751,6.156,0.983,132.98
-5.863,6.23,0.975,133.19
-5.975,6.328,0.975,133.41
-6.149,6.493,0.996,133.85
-6.211,6.543,0.995,134.13
-6.236,6.566,0.991,134.3
-6.27,6.572,0.997,134.68
-6.263,6.564,0.999,134.82
-6.209,6.517,0.989,135.1
-6.155,6.498,0.987,135.34
-6.104,6.493,0.986,135.5
-5.984,6.503,0.98,135.83
-5.881,6.507,0.966,136.09
-5.79,6.514,0.949,136.37
-5.702,6.549,0.941,136.64
-5.65,6.614,0.939,136.91
-5.583,6.672,0.923,137.17
-5.524,6.738,0.916,137.41
-5.489,6.782,0.911,137.56
-5.444,6.895,0.906,137.86
-5.419,6.966,0.899,138.05
-5.414,7.03,0.897,138.22
-5.388,7.102,0.896,138.41
-5.306,7.099,0.886,138.66
-5.194,7.071,0.869,138.88
-5.099,7.032,0.864,139.05
-4.989,6.983,0.861,139.25
-4.884,6.933,0.851,139.47
-4.761,6.857,0.854,139.68
-4.656,6.767,0.859,139.91
-4.514,6.69,0.847,140.17
-4.417,6.626,0.842,140.34
-4.324,6.566,0.843,140.51
-4.196,6.508,0.829,140.72
-4.064,6.445,0.821,140.95
-3.909,6.333,0.828,141.21
-3.77,6.221,0.824,141.48
-3.642,6.134,0.832,141.7
-3.519,6.055,0.836,141.93
-3.437,5.992,0.829,142.11
-3.325,5.9,0.829,142.33
-3.184,5.789,0.836,142.59
-2.996,5.575,0.84,142.98
-2.889,5.436,0.853,143.18
-2.82,5.316,0.861,143.34
-2.762,5.202,0.881,143.5
-2.684,5.051,0.911,143.74
-2.606,4.918,0.958,143.98
-2.51,4.754,1.015,144.35
-2.46,4.691,1.029,144.54
-2.408,4.622,1.042,144.76
-2.335,4.56,1.04,144.97
-2.237,4.497,1.028,145.22
-2.058,4.344,1.025,145.62
-1.908,4.119,0.991,146.1
-1.788,3.994,0.947,146.4
-1.605,3.799,0.953,146.79
-1.466,3.661,0.95,147.11
-1.31,3.458,0.992,147.51
-1.231,3.476,0.984,147.9
-1.222,3.554,0.964,148.31
-1.225,3.669,0.938,148.72
-1.273,3.786,0.933,149.13
-1.245,3.893,0.923,149.51
-1.202,3.941,0.912,149.82
-1.138,3.935,0.912,150.14
-1.038,3.933,0.921,150.53
-0.987,3.924,0.92,150.85
-0.95,3.919,0.918,151.16
-0.894,3.905,0.916,151.5
-0.801,3.891,0.91,151.92
-0.712,3.85,0.904,152.31
-0.653,3.803,0.904,152.64
-0.584,3.754,0.9,152.98
-0.494,3.7,0.896,153.36
-0.427,3.788,0.881,153.78
-0.344,3.873,0.872,154.12
-0.272,3.857,0.865,154.41
-0.211,3.808,0.861,154.71
-0.158,3.724,0.861,155.1
-0.13,3.66,0.867,155.48
-0.129,3.62,0.874,155.81
-0.115,3.612,0.874,156.15
-0.088,3.632,0.868,156.47
-0.056,3.632,0.867,156.88
-0.037,3.611,0.869,157.3
-0.015,3.641,0.868,157.73
0.006,3.699,0.867,158.12
0.05,3.75,0.864,158.55
0.073,3.715,0.866,158.96
0.077,3.592,0.875,159.38
0.099,3.431,0.887,159.73
0.107,3.236,0.908,160.02
0.107,2.999,0.937,160.41
0.138,2.809,0.95,160.77
0.201,2.608,0.941,161.14
0.307,2.362,0.95,161.56
0.313,2.155,0.961,161.87
0.311,1.951,0.992,162.2
0.416,1.735,1.0,162.63
0.476,1.633,0.999,162.87
0.547,1.509,1.003,163.19
0.621,1.395,1.002,163.51
0.709,1.262,1.006,163.84
0.815,1.062,1.012,164.25
0.884,0.86,1.032,164.57
0.971,0.655,1.046,164.88
1.056,0.454,1.055,165.21
1.14,0.247,1.05,165.57
1.263,0.025,1.039,165.96
1.337,-0.121,1.05,166.17
1.382,-0.206,1.049,166.41
1.436,-0.284,1.044,166.63
1.527,-0.359,1.041,166.86
1.633,-0.437,1.029,167.07
1.796,-0.557,1.014,167.39
1.925,-0.661,1.005,167.59
2.045,-0.806,0.997,167.83
2.137,-0.942,0.999,168.0
2.249,-1.108,1.0,168.22
2.404,-1.327,0.998,168.56
2.596,-1.58,0.975,168.93
2.75,-1.855,0.969,169.34
2.829,-1.958,0.966,169.64
2.888,-1.983,0.956,169.98
2.903,-1.995,0.954,170.31
2.92,-1.964,0.944,170.64
3.097,-1.959,0.938,171.03
3.342,-1.957,0.917,171.36
3.516,-1.966,0.914,171.59
3.584,-1.97,0.914,171.82
3.615,-1.962,0.914,172.09
3.633,-1.953,0.911,172.37
3.639,-1.935,0.919,172.64
3.731,-1.982,0.908,173.03
3.878,-2.067,0.897,173.34
4.003,-2.145,0.888,173.58
4.138,-2.234,0.882,173.8
4.256,-2.333,0.882,174.05
4.393,-2.454,0.873,174.32
4.537,-2.584,0.863,174.6
4.678,-2.73,0.857,174.9
4.792,-2.851,0.855,175.12
4.905,-2.973,0.852,175.37
4.99,-3.076,0.85,175.55
5.111,-3.223,0.851,175.81
5.189,-3.323,0.847,175.98
5.275,-3.423,0.843,176.15
5.388,-3.583,0.84,176.41
5.553,-3.834,0.839,176.8
5.694,-4.076,0.836,177.2
5.814,-4.266,0.837,177.56
5.948,-4.428,0.835,177.91
6.103,-4.602,0.828,178.26
6.258,-4.794,0.832,178.63
6.387,-4.997,0.84,178.99
6.563,-5.203,0.831,179.39
6.654,-5.3,0.827,179.58
6.774,-5.464,0.825,179.89
6.875,-5.6,0.819,180.16
6.982,-5.74,0.819,180.39
7.091,-5.897,0.815,180.67
7.175,-6.031,0.808,180.91
7.266,-6.176,0.804,181.12
7.364,-6.355,0.796,181.4
7.458,-6.56,0.792,181.64
7.514,-6.765,0.782,181.86
7.565,-7.031,0.801,182.13
7.585,-7.142,0.781,182.35
7.626,-7.177,0.792,182.6
7.709,-7.214,0.776,182.8
7.792,-7.269,0.772,182.98
7.935,-7.385,0.761,183.24
8.046,-7.499,0.76,183.47
8.13,-7.587,0.756,183.66
8.269,-7.724,0.749,183.97
8.372,-7.845,0.741,184.2
8.496,-7.989,0.737,184.48
8.58,-8.086,0.728,184.67
8.685,-8.215,0.723,184.89
8.766,-8.319,0.718,185.05
8.843,-8.421,0.731,185.21
8.938,-8.573,0.731,185.45
