x,y,z,t
9.326,-9.317,1.127,0.05
9.325,-9.316,0.745,0.45
9.324,-9.276,0.749,0.88
9.14,-9.514,0.742,3.87
9.126,-9.53,0.753,4.15
9.081,-9.523,0.753,4.42
9.018,-9.481,0.743,4.65
8.942,-9.421,0.743,4.88
8.861,-9.345,0.742,5.1
8.758,-9.236,0.742,5.38
8.623,-9.097,0.728,5.73
8.521,-8.949,0.725,6.02
8.429,-8.78,0.728,6.3
8.367,-8.609,0.736,6.6
8.301,-8.481,0.737,7.13
8.264,-8.462,0.734,7.36
8.201,-8.437,0.737,7.61
8.138,-8.398,0.738,7.86
8.017,-8.34,0.744,8.24
7.914,-8.297,0.749,8.56
7.806,-8.244,0.753,8.86
7.721,-8.206,0.755,9.08
7.626,-8.164,0.756,9.31
7.529,-8.121,0.762,9.56
7.429,-8.069,0.766,9.79
7.339,-8.018,0.768,10.03
7.235,-7.952,0.773,10.31
7.125,-7.887,0.781,10.62
7.038,-7.841,0.78,10.9
6.921,-7.788,0.784,11.22
6.809,-7.723,0.788,11.5
6.7,-7.664,0.788,11.82
6.583,-7.609,0.795,12.15
6.502,-7.554,0.798,12.4
6.406,-7.484,0.804,12.72
6.318,-7.441,0.808,12.98
6.199,-7.384,0.816,13.26
6.085,-7.34,0.825,13.53
5.996,-7.301,0.834,13.76
5.9,-7.244,0.841,14.03
5.805,-7.197,0.841,14.31
5.719,-7.162,0.842,14.52
5.607,-7.116,0.85,14.79
5.477,-7.065,0.854,15.11
5.292,-6.974,0.878,15.53
5.04,-6.863,0.896,16.09
4.851,-6.791,0.914,16.51
4.783,-6.766,0.925,16.79
4.688,-6.716,0.927,17.2
4.592,-6.664,0.93,17.57
4.496,-6.631,0.933,17.9
4.418,-6.592,0.938,18.17
4.331,-6.569,0.941,18.44
4.194,-6.519,0.948,18.79
4.069,-6.488,0.952,19.1
3.948,-6.437,0.957,19.4
3.806,-6.384,0.963,19.76
3.733,-6.353,0.974,20.06
3.64,-6.298,0.97,20.45
3.529,-6.225,0.972,20.79
3.39,-6.095,0.979,21.37
3.306,-6.0,0.983,21.71
3.183,-5.903,0.982,22.12
3.058,-5.808,0.99,22.54
2.941,-5.703,1.001,22.99
2.846,-5.609,1.01,23.3
2.764,-5.542,1.012,23.53
2.652,-5.466,1.013,23.82
2.541,-5.384,1.025,24.12
2.435,-5.309,1.029,24.43
2.331,-5.23,1.038,24.75
2.249,-5.156,1.04,25.0
2.162,-5.081,1.051,25.25
2.083,-5.005,1.061,25.49
1.996,-4.907,1.074,25.79
1.912,-4.819,1.085,26.09
